order_id,customer_id,order_date,payment_method,order_status
71,112,2026-08-05,kakao_pay,completed
72,125,not-a-date,kakao_pay,completed
73,30,2025-12-20,naver_pay,cancelled
74,110,2026-04-12,card,refunded
75,3,2026-04-08,naver_pay,refunded
76,46,2026-02-25,kakao_pay,completed
77,41,2026-08-29,card,cancelled
78,127,2026-07-22,naver_pay,refunded
79,99,2026-05-22,kakao_pay,completed
80,9,2026-01-15,bank_transfer,cancelled
81,78,2025-11-17,naver_pay,cancel
82,51,2026-01-22,bank_transfer,completed
83,95,2025-07-29,card,cancelled
84,69,2025-07-04,kakao_pay,cancelled
85,120,2026-01-13,kakao_pay,completed
86,14,2025-10-04,bank_transfer,completed
87,17,2026-05-13,naver_pay,completed
88,9,2025-11-13,kakao_pay,completed
89,15,2025-11-12,kakao_pay,completed
90,5,2026-07-27,card,completed
91,115,2025-12-05,kakao_pay,refunded
92,93,2026-02-03,kakao_pay,completed
93,79,2025-12-12,card,refunded
94,3,2025-10-10,kakao_pay,completed
95,100,2026-03-08,kakao_pay,completed
96,85,2026-06-21,card,completed
97,25,2025-10-20,kakao_pay,refunded
98,29,2025-10-10,naver_pay,completed
99,126,2026-03-26,kakao_pay,Cancel
100,85,2026-04-30,bank_transfer,completed
101,55,2026-02-18,bank_transfer,cancelled
102,9,2026-05-04,kakao_pay,completed
103,32,2026-07-14,bank_transfer,completed
104,15,2026-01-14, bank_transfer,cancelled
105,92,2026-06-07,naver_pay,completed
106,119,2026-08-20,kakao_pay,cancelled
107,33,2025-07-24,card,completed
108,14,2026-08-06,kakao_pay,completed
109,92,2026-01-13,kakao_pay,refunded
110,17,2025-08-21,kakao_pay,refunded
111,36,2026-01-29,naver_pay,completed
112,137,2025-11-27,naver_pay,refunded
113,117,2026-04-21,bank_transfer,cancelled
114,140,2026-02-05,bank_transfer,refunded
115,120,2025-08-10,card,completed
116,97,2025-12-05,kakao_pay,completed
117,145,2025-11-15,naver_pay,CANCELLED
118,67,2025-10-29,kakao_pay,completed
119,22,2025-08-27,card,refunded
120,26,2025-08-21,naver_pay,refunded
121,95,2026-08-03,naver_pay,completed
122,86,2026-02-11,card,refunded
123,138,2025-09-13,kakao_pay,refunded
124,132,2025-12-01,card,completed
125,94,2026-03-11,card,cancelled
126,9991,2026-01-13,naver_pay,completed
127,26,2026-05-12,naver_pay,completed
128,85,2026-06-17,bank_transfer,completed
129,90,2026-07-01,card,completed
130,79,2025-08-17,bank_transfer,completed
131,18,2026-02-12,kakao_pay,cancelled
132,3,2026-04-14,kakao_pay,cancelled
133,25,2025-11-21,naver_pay,completed
134,55,2025-11-16,bank_transfer,completed
135,126,2026-03-30,card,취소
136,33,2026-08-19,bank_transfer,completed
137,52,2025-12-09,kakao_pay,cancelled
138,58,2026-01-21,kakao_pay,completed
139,59,2025-08-08,bank_transfer,cancelled
140,75,2025-08-31,kakao_pay,cancelled
141,74,2026-05-16,bank_transfer,completed
142,20,2026-02-03,bank_transfer,refunded
143,19,2026-02-30,naver_pay,refunded
144,90,2026-08-18,card,cancelled
145,19,2026-02-03,card,completed
146,51,2025-09-17,card,refunded
147,8,2026-03-06,bank_transfer,refunded
148,73,2026-01-20,kakao_pay,refunded
149,55,2026-07-17,card,refunded
150,45,2026-02-26,naver_pay,completed
151,74,2026-07-07,kakao_pay,completed
152,21,2025-07-07,kakao_pay,completed
153,135,2026-03-09,card,refund
154,52,2025-08-21,bank_transfer,completed
155,49,2026-05-10,naver_pay,refunded
156,41,2026-03-31,bank_transfer,completed
157,1,2026-04-20,kakao_pay,cancelled
158,130,2025-08-19,kakao_pay,completed
159,31,2025-12-04,bank_transfer,completed
160,21,2025-10-04,bank_transfer,completed
161,9,2025-08-02,card,completed
162,55,2026-06-09,kakao_pay,cancelled
163,108,2026-06-24,kakao_pay,completed
164,64,2025-12-31,bank_transfer,completed
165,36,2025-12-10,kakao_pay,refunded
166,115,2026-01-28,naver_pay ,cancelled
167,77,2025-07-02,kakao_pay,completed
168,146,2026-02-15,naver_pay,completed
169,136,2025-10-01,card,completed
170,15,2025-12-07,naver_pay,refunded
171,60,2026-01-15,bank_transfer,Refund
172,58,2025-09-25,bank_transfer,completed
173,105,2026-04-19,kakao_pay,cancelled
174,48,2026-04-03,card,completed
175,136,2025-08-26,naver_pay,completed
176,95,2025-07-12,bank_transfer,refunded
177,112,2026-02-02,naver_pay,completed
178,65,2026-04-08,kakao_pay,completed
179,11,2025-08-04,bank_transfer,completed
180,116,2026-08-25,naver_pay,completed
181,57,2025-12-03,card,completed
182,111,2026-04-28,kakao_pay,completed
183,98,2025-08-26,card,completed
184,53,2026-03-12,kakao_pay,completed
185,65,2026-04-17,naver_pay,completed
186,150,2025-12-27,kakao_pay,completed
187,31,2026-05-14,naver_pay,cancelled
188,52,2025-10-09,kakao_pay,completed
189,36,2026-01-25,kakao_pay,REFUNDED
190,95,2025-10-07,card,refunded
191,21,2025-10-13,bank_transfer,completed
192,143,2026-06-10,naver_pay,refunded
193,131,2026-04-23,bank_transfer,completed
194,84,2026-01-30,card,cancelled
195,9,2026-04-03,naver_pay,refunded
196,7,2026-08-10,naver_pay,completed
197,5,2026-05-30,card,cancelled
198,65,2025-07-24,naver_pay,completed
199,61,2025-09-28,bank_transfer,completed
200,77,2025-10-11,naver_pay,cancelled
201,127,2025-09-08,naver_pay,refunded
202,108,2026-03-11,bank_transfer,completed
203,60,2025-10-17,naver_pay,cancelled
204,115,2026-08-11,card,completed
205,10,2025-09-10,kakao_pay,cancelled
206,25,2026-06-29,bank_transfer,completed
207,15,2026-08-30,kakao_pay,환불
208,111,2026-04-06,naver_pay,completed
209,61,2026-05-06,kakao_pay,cancelled
210,65,2026-02-15,card,completed
211,38,2026-06-22,kakao_pay,completed
212,27,2025-12-11,bank_transfer,completed
213,65,2025-08-28,kakao_pay,completed
214,62,2026/99/99,naver_pay,completed
215,60,2026-06-12,card,completed
216,137,2026-02-11,bank_transfer,completed
217,98,2025-11-29,kakao_pay,cancelled
218,83,2026-01-13,card,refunded
219,133,2025-12-03,card,cancelled
220,150,2026-06-19,bank_transfer,refunded
221,117,2026-06-10,card,cancelled
222,93,2025-08-27,card,completed
223,150,2026-04-30,bank_transfer,refunded
224,108,2025-12-25,naver_pay,cancelled
225,104,2026-08-28,bank_transfer,Complete
226,108,2026-04-26,kakao_pay,refunded
227,124,2026-01-09, card,refunded
228,22,2026-06-22,bank_transfer,completed
229,58,2025-08-27,kakao_pay,cancelled
230,92,2026-03-12,bank_transfer,completed
231,134,2026-06-24,kakao_pay,cancelled
232,20,2026-08-11,kakao_pay,completed
233,144,2026-07-27,naver_pay,completed
234,38,2026-01-10,bank_transfer,completed
235,7,2026-08-26,kakao_pay,completed
236,15,2026-05-04,card,cancelled
237,2,2025-09-23,bank_transfer,cancelled
238,138,2025-07-15,card,completed
239,119,2026-02-08,bank_transfer,completed
240,67,2026-01-24,naver_pay,cancelled
241,133,2025-10-22,kakao_pay,refunded
242,52,2026-05-16,kakao_pay,cancelled
243,3,2025-09-29,kakao_pay,cancel
244,85,2026-06-09,kakao_pay,completed
245,114,2025-11-02,card,completed
246,105,2025-11-06,card,completed
247,134,2025-11-23,naver_pay,completed
248,22,2025-07-25,naver_pay,completed
249,88,2025-11-10,naver_pay,completed
250,16,2026-03-13,kakao_pay,cancelled
251,72,2026-06-26,card,refunded
252,53,2025-10-14,card,completed
253,65,2025-11-24,card,completed
254,136,2025-12-23,kakao_pay,completed
255,90,2026-04-16,card,completed
256,55,2027-01-15,bank_transfer,completed
257,51,2026-06-06,bank_transfer,completed
258,56,2025-11-14,naver_pay,completed
259,142,2026-06-05,bank_transfer,completed
260,60,2025-11-30,kakao_pay,completed
261,90,2026-01-07,card,Refund
262,110,2026-08-11,kakao_pay,completed
263,43,2026-06-18,bank_transfer,completed
264,23,2025-08-26,bank_transfer,completed
265,130,2025-08-04,bank_transfer,completed
266,90,2026-01-15,naver_pay,completed
267,69,2026-05-01,naver_pay,completed
268,5,2026-05-12,card,completed
269,52,2025-09-20,card,refunded
270,122,2025-12-02,kakao_pay,refunded
271,61,2026-01-28,kakao_pay,completed
272,139,2025-12-25,card,completed
273,28,2025-08-25,card,completed
274,51,2025-11-07,card,cancelled
275,3,2026-01-24,bank_transfer,refunded
276,22,2025-10-29,naver_pay,completed
277,14,2025-07-12,bank_transfer,completed
278,9992,2026-07-10,kakao_pay,cancelled
279,54,2026-01-05,naver_pay,refunded
280,48,2026-05-07,naver_pay,cancelled
281,132,2025-11-15,card,completed
282,20,2025-08-13,naver_pay,completed
283,112,2026-02-26,card,refunded
284,107,2025-07-05,naver_pay,cancelled
285,38,2026-07-18,card,completed
286,69,2025-09-03,naver_pay,completed
287,83,2028-12-31,card,cancelled
288,95,2025-07-13,naver_pay,completed
289,75,2026-01-16,naver_pay,cancelled
290,3,2026-04-24,card,completed
291,37,2026-05-20,card,refunded
292,14,2026-06-11,kakao_pay,completed
293,20,2026-03-12,bank_transfer,refunded
294,44,2025-07-06,card,completed
295,18,2025-08-11,card,refunded
296,92,2026-04-13,card,completed
297,36,2026-07-24,naver_pay,completed
298,31,2026-03-27,naver_pay,completed
299,133,2026-01-08,naver_pay,cancelled
300,2,2026-04-29,card,completed
44,128,2026-08-01,bank_transfer,refunded
205,10,2025-09-10,kakao_pay,cancelled
